Date,Name,Year,Letterboxd URI,Rating
2024-01-16,The Batman,2022,https://boxd.it/eDGs,5
2024-01-16,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4
2024-01-22,Risky Business,1983,https://boxd.it/1YUE,4
2024-02-07,Nightcrawler,2014,https://boxd.it/780m,4.5
2024-02-15,The Hateful Eight,2015,https://boxd.it/8gw8,4.5
2024-02-15,The Dark Knight,2008,https://boxd.it/2b0k,5
2024-02-15,Batman Begins,2005,https://boxd.it/2aIg,4
2024-02-15,Batman,1989,https://boxd.it/2aIU,4
2024-02-24,Fargo,1996,https://boxd.it/2aHM,4
2024-02-24,Midsommar,2019,https://boxd.it/jhxe,5
2024-03-06,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,4.5
2024-03-11,Stand by Me,1986,https://boxd.it/2aOe,4
2024-03-12,Ghost in the Shell,1995,https://boxd.it/1YYc,5
2024-03-16,Akira,1988,https://boxd.it/2b1i,5
2024-03-16,The Dark Knight Rises,2012,https://boxd.it/H3m,5
2024-03-20,Adaptation.,2002,https://boxd.it/26mA,4
2024-03-27,The Revenant,2015,https://boxd.it/8H5e,4.5
2024-04-06,The Lost Boys,1987,https://boxd.it/28DI,4
2024-04-16,Civil War,2024,https://boxd.it/z1jW,4
2024-04-27,The Shining,1980,https://boxd.it/29Nu,4
2024-04-27,Logan,2017,https://boxd.it/7Piy,4
2024-05-04,The Town,2010,https://boxd.it/1zyS,4
2024-05-07,Heat,1995,https://boxd.it/2bg8,3.5
2024-05-11,Ex Machina,2015,https://boxd.it/7T2k,4.5
2024-05-20,Barbie,2023,https://boxd.it/bCLK,4.5
2024-05-25,Rain Man,1988,https://boxd.it/2avw,3.5
2024-05-31,Chernobyl,2019,https://boxd.it/mkbG,5
2024-06-01,The Creator,2023,https://boxd.it/oXWq,3.5
2024-06-09,Fight Club,1999,https://boxd.it/2a9q,5
2024-07-13,Jin-Roh: The Wolf Brigade,1999,https://boxd.it/29wS,4
2024-08-25,The Crow,1994,https://boxd.it/1Yxq,4.5
2024-08-31,Django Unchained,2012,https://boxd.it/2cCk,4
2024-09-01,Sin City,2005,https://boxd.it/2aVk,4
2024-09-05,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,5
2024-09-16,Near Dark,1987,https://boxd.it/1SRO,4
2024-09-20,Time Masters,1982,https://boxd.it/1Atu,4
2024-09-28,Spider-Man 3,2007,https://boxd.it/2a7Y,2
2024-10-14,Ghost in the Shell 2: Innocence,2004,https://boxd.it/1SrG,5
2024-10-21,The Silence of the Lambs,1991,https://boxd.it/2aHW,5
2024-10-21,Taxi Driver,1976,https://boxd.it/2b8y,3.5
2024-10-22,Inglourious Basterds,2009,https://boxd.it/1JzG,4
2024-10-26,Deadpool & Wolverine,2024,https://boxd.it/jq8s,3
2024-11-03,The Exorcist,1973,https://boxd.it/1Yoo,4
2024-11-10,Burning,2018,https://boxd.it/hHUa,4
2024-11-12,The Penguin,2024,https://boxd.it/QkIU,5
2024-11-16,Alien,1979,https://boxd.it/2awY,5
2024-12-01,Gladiator II,2024,https://boxd.it/kqQQ,1.5
2024-12-01,The Full Monty,1997,https://boxd.it/1YI4,4
2024-12-27,Blade,1998,https://boxd.it/1a8A,3.5
2024-12-28,Good Time,2017,https://boxd.it/fcFu,4.5
2024-12-29,Nosferatu,2024,https://boxd.it/f5eG,4
2024-12-29,Juror #2,2024,https://boxd.it/FRwU,4
2025-01-12,Lost in Translation,2003,https://boxd.it/2b0E,4
2025-01-13,A Silent Voice: The Movie,2016,https://boxd.it/d99c,5
2025-01-21,Thief,1981,https://boxd.it/1TEc,4
2025-02-10,Face/Off,1997,https://boxd.it/29I0,3.5
2025-02-16,Challengers,2024,https://boxd.it/zld0,4
2025-02-24,Whiplash,2014,https://boxd.it/7bQA,4
2025-03-25,Do the Right Thing,1989,https://boxd.it/29gA,4
2025-04-18,A Minecraft Movie,2025,https://boxd.it/zRro,2
2025-04-29,Run Lola Run,1998,https://boxd.it/2b8o,4
2025-05-16,Neon Genesis Evangelion,1995,https://boxd.it/ptEI,5
2025-05-19,Look Back,2024,https://boxd.it/LjA6,4.5
2025-05-19,Chainsaw Man,2022,https://boxd.it/J6t8,4
2025-05-31,Neo Tokyo,1987,https://boxd.it/18ls,4
2025-06-03,Gladiator,2000,https://boxd.it/2b9m,4
2025-06-07,Fallen Angels,1995,https://boxd.it/1UkW,5
2025-06-15,Blade Runner,1982,https://boxd.it/2bcA,5
2025-06-17,Chungking Express,1994,https://boxd.it/1UDa,5
2025-06-20,28 Days Later,2002,https://boxd.it/2aXU,4
2025-06-22,28 Years Later,2025,https://boxd.it/FEGM,4
2025-07-06,The Phoenician Scheme,2025,https://boxd.it/H0Ca,4
2025-07-15,Superman,2025,https://boxd.it/E9IU,4
2025-07-22,Parasite,2019,https://boxd.it/hTha,5
2025-07-22,Your Name.,2016,https://boxd.it/cUqs,5
